Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccccn4)CC3)CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C2)cc1.O=C(O)/C=C/C(=O)O,500.0,nM,CHEMBL410270,500.0,5.994700000000005,182.85,833.9390000000003,6.301029995663981
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,2781.0,nM,CHEMBL54,2781.0,4.425600000000004,40.540000000000006,375.87100000000015,5.55579901113584
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccncc4)CC3)(c3ccccc3)C2)cc(OC)c1OC,6.55,nM,CHEMBL330719,6.55,6.274300000000007,99.02000000000001,687.8410000000001,8.183758700008218
NCCc1c[nH]cn1,158.49,nM,CHEMBL90,158.49,-0.08910000000000035,54.7,111.14799999999998,6.799998134593398
CN(C)CCCC1CC2c3ccccc3Cc3ccccc3N2O1,676.08,nM,CHEMBL310018,676.08,4.184200000000003,15.71,322.45200000000006,6.170001911302621
COC(=O)c1ccc(Cn2c(C(=O)C3CCN(CCC4(c5ccccc5)CCN(C(=O)c5cc(OC)c(OC)c(OC)c5)C4)CC3)nc3ccccc32)cc1,1210.0,nM,CHEMBL328511,1210.0,6.665900000000008,112.43,744.8889999999999,5.91721462968355
Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,14791.0,nM,CHEMBL141343,14791.0,4.213760000000003,68.2,520.7220000000004,4.83000246293343
COC(=O)c1ccc(Cn2c(C(=O)C3CCN(CCC4(c5ccccc5)CCN(C(=O)c5cc(OC)c(OC)c(OC)c5)C4)CC3)nc3ccccc32)cc1,5.93,nM,CHEMBL328511,5.93,6.665900000000008,112.43,744.8889999999999,8.226945306635738
COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)CCN(C(=O)c3ccccc3)C2)cc1OC,6.62,nM,CHEMBL327497,6.62,7.009800000000007,76.9,674.8170000000002,8.1791420105603
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,27.0,nM,CHEMBL395110,27.0,4.631100000000004,6.48,310.4660000000001,7.568636235841013
NCCCCCCCCCCCCc1cccnc1,1258.93,nM,CHEMBL152122,1258.93,4.483800000000005,38.91,262.441,5.899998417198648
CCOc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(OC)c(OC)c3)C2)cc(OCC)c1OCC,6.8,nM,CHEMBL330462,6.8,8.205900000000009,104.59000000000002,806.9759999999997,8.167491087293763
Cn1c(N2CCCN(CC/C=C3/c4ccccc4COc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,92.0,nM,CHEMBL1774502,92.0,2.637600000000001,97.00999999999999,530.6250000000003,7.036212172654444
Cn1c(N2CCN(CC/C=C3\c4ccccc4COc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,540.0,nM,CHEMBL1774501,540.0,2.2475000000000005,97.00999999999999,516.5980000000004,6.267606240177032
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,3.7,nM,CHEMBL516,3.7,4.697900000000004,3.24,287.4060000000001,8.431798275933005
CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,6.761,nM,CHEMBL83658,6.761,3.4040000000000026,15.71,294.398,8.169989064063882
Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,1580.0,nM,CHEMBL589390,1580.0,3.883740000000002,21.060000000000002,319.4520000000001,5.801342913045577
Cc1ccc2c(c1)c1c(n2CCc2ccc(C(F)(F)F)cc2)CCN(C)C1,98.0,nM,CHEMBL606036,98.0,5.199120000000004,8.17,372.43400000000014,7.008773924307505
Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,40.0,nM,CHEMBL592752,40.0,4.180320000000003,8.17,304.43700000000007,7.3979400086720375
Cc1cccc2c1C1CC(CN(C)C)ON1c1ccccc1C2,11.75,nM,CHEMBL314795,11.75,3.7124200000000025,15.71,308.42500000000007,7.9299621333922445
COc1ccc(C2(CCN3CCC(C(=O)c4nc5ccccc5[nH]4)CC3)CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C2)cc1OC,5.71,nM,CHEMBL96441,5.71,5.374800000000005,115.45000000000002,656.7800000000002,8.243363891754152
CC(C(=O)O)c1ccc2c(c1)N(CCCN1CCCN(c3cc(=O)n(C)c(=O)n3C)CC1)c1ccccc1S2,72.0,nM,CHEMBL565083,72.0,3.4772000000000016,91.02000000000001,549.6970000000002,7.142667503568731
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,420.0,nM,CHEMBL1112,420.0,4.859300000000005,44.81,448.39400000000006,6.376750709602099
CN(C)CC1CC2c3ccccc3Cc3cc(F)ccc3N2O1,1.288,nM,CHEMBL84081,1.288,3.5431000000000026,15.71,312.38800000000003,8.890084136976206
Cc1ccc2c(c1)N1OC(CN(C)C)CC1c1ccccc1C2,5.888,nM,CHEMBL85735,5.888,3.7124200000000025,15.71,308.42500000000007,8.230032198670557
Cc1ccc(CCn2c3c(c4cc(C)ccc42)CN(C)CC3)cc1,112.0,nM,CHEMBL605081,112.0,4.4887400000000035,8.17,318.4640000000001,6.950781977329818
COc1ccc2c(c1)c1c(n2CCc2ccccn2)CCN(C)C1,4670.0,nM,CHEMBL1783955,4670.0,3.275500000000002,30.29,321.42400000000015,5.330683119433888
COc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,104.0,nM,CHEMBL589389,104.0,3.8805000000000023,17.4,320.43600000000015,6.982966660701219
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccc2)C1,68.0,nM,CHEMBL589388,68.0,4.890700000000004,8.17,358.4070000000001,7.167491087293763
CN1CCc2c(c3cc(F)ccc3n2CCc2ccccc2)C1,40.0,nM,CHEMBL589148,40.0,4.011000000000003,8.17,308.40000000000003,7.3979400086720375
